@paulkrugman
@Nouriel
@jimcramer
@RBReich
@LHSummers
@TheStalwart
@elerianm
@RobertShiller
@ritholtz
@felixsalmon
@carney
@bEichengreen
@Austan_Goolsbee
@JustinWolfers
@EconguyRosie
@AlanGreenspan
@JeffDSachs
@grossdm
@krogoff
@Koorichard
@GDPnow
@Bill_Gross
@steveliesman
@DianeSwonk
@Carl_C_Icahn
@mcuban
@davidmwessel
@halscott
@AlanBlinder
@ActivistShorts
@calculatedrisk
@JoeLacob
@PeterSchiff
@willembuiter
@davidzervos
@asymmetricinfo
@ricardo_hausman
@edwardyardeni
@econjared
@tylercowen
@LongShortTrader
@ianbremmer
@econhamilton
@zerohedge
@andrewrsorkin
@AndyXieecon
@davidcayj
@markthoma
@herbgreenberg
@WallStCynic
