Date,^SP500-255040,^SP500-30,^SP500-35,^SP500-60
2020-01-02,0.0,0.0,0.0,0.0
2020-01-03,-0.39624998786246257,-0.17454379151538024,-0.8500983268742601,0.8096475389588464
2020-01-06,-0.14804193724373693,0.06234114493688381,-0.2671201454118033,0.8939846177970612
2020-01-07,-0.6039456511849339,-0.6670045935930902,-0.507364210166239,-0.3120542696587236
2020-01-08,0.4374996178924784,-0.219734938844518,0.1327294879927221,0.10963755903901085
2020-01-09,1.5813137377810982,0.5127307105092793,0.6039786443339912,0.17289519404766196
2020-01-10,1.1894872063211492,0.38337806632302573,0.6451387312315982,1.12170180861757
2020-01-13,1.128358994774925,1.0690926129357736,0.28981254010647106,2.3741270546103754
2020-01-14,1.0591211131574019,1.0924634083446794,0.8383470913025937,1.8680981470744262
2020-01-15,0.9501170777424184,1.7454474270770737,1.694321035962676,2.6566598076970482
2020-01-16,2.1057180906060458,2.06025403873884,2.226889903227658,3.4705219485204664
2020-01-17,3.09487307017724,2.3205097705999878,2.2882096141513486,3.609681024131528
2020-01-21,3.0271096740272174,2.6695973536307704,2.331051378739857,4.7187325926487
2020-01-22,3.0609958674847615,2.7693393807604716,2.452019377028658,3.892213777218201
2020-01-23,3.4896485725721904,2.4981734729391913,1.9446449127301646,4.895842388560934
2020-01-24,2.156542885409829,1.832719322834775,0.235209285814042,4.651260355775455
2020-01-27,1.571010321038635,1.5085624906248096,-0.5241707329428191,4.2169182869773225
2020-01-28,2.4283157312135373,1.6285649142628422,-0.04955822121978093,4.528972556636046
2020-01-29,2.288383464041077,1.1002536734809665,-0.3284398563355051,3.875348935253231
2020-01-30,1.6976902005336303,2.161546509357204,-1.1012630424871772,4.1494460501040775
2020-01-31,-0.5987939428137024,1.0254519090953096,-3.065226740397975,2.7325612482994366
2020-02-03,0.5030512858412273,1.0161016885471108,-2.168082454708009,2.8675057220459044
2020-02-04,1.8508838461485988,1.56778372473787,-0.507364210166239,4.090409451466681
2020-02-05,3.699555964095924,2.337650256284496,1.4498727769810316,4.018722612728864
2020-02-06,3.402743837639721,2.675837175278395,1.56244264094767,4.436199839562005
2020-02-07,2.7354492559422683,2.8581712319300845,0.7409020724216564,4.486800799963597
2020-02-10,3.5124851157884773,3.243099741741773,1.2566746710423127,5.768747562528453
2020-02-11,4.265947189684649,2.8706413633021066,1.8799618464246715,7.059123528822431
2020-02-12,4.935444508818332,2.830120570285466,2.0210894687395564,7.775998350707258
2020-02-13,5.056972679942073,3.3989430921607333,1.4683609774484907,8.3199779785444
2020-02-14,5.568852897058263,3.690369396490345,1.6027618889998374,9.51758122776436
2020-02-18,5.37220688397706,3.2633601382501043,1.2289474974072512,9.34890707008793
2020-02-19,5.437021309192058,3.1776481979043147,1.6884454181768538,7.860335429545473
2020-02-20,6.734775308194441,3.282060579346524,1.0567498543400555,9.104331471809113
2020-02-21,5.926802225825711,3.56881652936365,1.0886709680700601,9.51758122776436
2020-02-24,3.566987133495969,0.9958412920387794,-2.2100833804510667,8.050101900064766
2020-02-25,1.2115865068036635,-0.7698665315466258,-5.095544928172879,5.271147858721648
2020-02-26,0.8889888661961942,-1.2529771130761258,-5.192989947053817,4.347641724352558
2020-02-27,-3.4189362054871664,-5.269063297188337,-8.35145751210552,-1.484357038677886
2020-02-28,-5.255093178490777,-7.240475972834326,-9.642565559281913,-3.980771892427659
2020-03-02,-1.327953978791141,-2.1553066877095794,-5.282036831612591,0.8729051739674976
2020-03-03,-3.023423460358454,-3.436343974353573,-7.692045028765914,0.7674822167930806
2020-03-04,1.1858009926523971,1.318438168836833,-2.326847184512648,4.786204829521923
2020-03-05,-2.5417432230310344,-0.6997351214734437,-4.666296697574667,2.315090455972957
2020-03-06,-4.180507949454637,-1.4618113878837713,-5.16022799447835,0.5819367826449984
2020-03-09,-10.370982341777824,-5.806724758518422,-10.08106301717998,-6.607910183552668
2020-03-10,-4.894194878788305,-3.0514059526186355,-6.962073861335005,-1.9482141895413863
2020-03-11,-9.720635352191643,-7.796837875260831,-10.599347878204702,-7.282619683271707
2020-03-12,-18.965479418160847,-16.312120825014766,-17.224573494749784,-15.34536538893022
2020-03-13,-14.017510773633756,-9.274239305340437,-11.468764990259594,-8.037445225457718
2020-03-16,-30.794044589159796,-15.618616013265708,-20.315004892246503,-23.256301778877276
2020-03-17,-28.36425437247877,-8.535533834339015,-15.330332769150978,-17.930338357889454
2020-03-18,-35.32145671252317,-11.339163698391753,-18.20655534370519,-24.053299077735723
2020-03-19,-32.66407876485589,-13.916809290029097,-19.732872676695624,-25.073798965550097
2020-03-20,-36.80702329794928,-19.541190479972602,-23.004740690427127,-29.176858657117176
2020-03-23,-35.04157419664817,-21.93027170523387,-26.835228194433935,-33.11124419100781
2020-03-24,-26.583341155298925,-18.152630412985825,-21.283543573807094,-27.393104023387625
2020-03-25,-24.242671897134137,-18.2928932331322,-20.287282845677566,-24.129206952844783
2020-03-26,-19.531124410250765,-13.658104001656602,-14.723001023567484,-18.20443547274031
2020-03-27,-21.53521089277938,-14.27836700443189,-16.78020554613201,-18.263472071377727
2020-03-30,-19.98187641582072,-10.932405324736582,-12.89176168658327,-16.028504092378416
2020-03-31,-22.416827331638032,-12.676292796401755,-13.234485549159025,-18.765286377049094
2020-04-01,-26.47359987715019,-14.273687138196166,-16.584479796590834,-23.728601002483273
2020-04-02,-25.7923156650415,-11.792663662864722,-14.260990840393816,-22.70810754917556
2020-04-03,-27.481900690886352,-11.314223435647698,-15.085048798390021,-23.294258933685143
